trade_type,entry_time,entry_price,exit_time,exit_price,size,gross_pnl_inr,swap_charges_inr,fees_inr,mae_inr,net_pnl_inr,margin_inr,status
SHORT_ORIG,2024-10-17 02:30:00,33.57861,2024-10-17 02:30:00,32.57861,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
LONG,2024-10-17 02:30:00,31.57861,2024-10-18 02:30:00,32.07861,0.01000,2200.00000,-19.97000,88.74000,1128.21940,2091.29000,79.46000,CLOSED_TP
LONG,2024-10-07 03:15:00,32.06338,2024-10-18 13:45:00,32.56338,0.01000,2200.00000,-219.67000,88.74000,8502.46100,1891.59000,79.46000,CLOSED_TP
SHORT_ORIG,2024-10-21 00:45:00,35.62324,2024-10-21 00:45:00,34.62324,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
LONG,2024-10-21 00:45:00,33.62324,2024-10-21 07:00:00,34.12324,0.01000,2200.00000,-0.00000,88.74000,281.77160,2111.26000,79.46000,CLOSED_TP
SHORT_ORIG,2024-10-21 14:45:00,35.62324,2024-10-21 14:45:00,34.62324,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
LONG,2024-10-21 14:45:00,33.62324,2024-10-22 04:15:00,34.12324,0.01000,2200.00000,-19.97000,88.74000,629.37160,2091.29000,79.46000,CLOSED_TP
SHORT_ORIG,2024-10-23 01:15:00,36.55655,2024-10-23 01:15:00,35.55655,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-10-23 13:15:00,36.05655,2024-10-23 13:15:00,35.05655,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-10-23 15:00:00,35.55655,2024-10-23 15:00:00,34.55655,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
LONG,2024-10-23 15:00:00,33.55655,2024-10-24 06:15:00,34.05655,0.01000,2200.00000,-19.97000,88.74000,491.69560,2091.29000,79.46000,CLOSED_TP
SHORT_ORIG,2024-10-24 14:15:00,35.63120,2024-10-24 14:15:00,34.63120,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-10-25 03:00:00,35.50255,2024-10-25 03:00:00,34.50255,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
LONG,2024-10-25 03:00:00,33.50255,2024-10-25 15:15:00,34.00255,0.01000,2200.00000,-0.00000,88.74000,1831.92020,2111.26000,79.46000,CLOSED_TP
SHORT_ORIG,2024-10-27 22:00:00,35.53817,2024-10-27 22:00:00,34.53817,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-10-28 01:00:00,35.41638,2024-10-28 01:00:00,34.41638,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
LONG,2024-10-28 01:00:00,33.41638,2024-10-28 14:45:00,33.91638,0.01000,2200.00000,-0.00000,88.74000,797.18540,2111.26000,79.46000,CLOSED_TP
LONG,2024-10-27 22:00:00,33.53817,2024-10-29 02:00:00,34.03817,0.01000,2200.00000,-39.94000,88.74000,1333.05260,2071.32000,79.46000,CLOSED_TP
LONG,2024-10-24 14:15:00,33.63120,2024-10-29 09:00:00,34.13120,0.01000,2200.00000,-99.85000,88.74000,2397.99560,2011.41000,79.46000,CLOSED_TP
SHORT_ORIG,2024-10-30 02:30:00,36.30183,2024-10-30 02:30:00,35.30183,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-10-30 13:15:00,35.80183,2024-10-30 13:15:00,34.80183,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
SHORT_ORIG,2024-10-31 04:15:00,35.56563,2024-10-31 04:15:00,34.56563,0.01000,4400.00000,0.00000,88.74000,0.00000,4311.26000,79.46000,CLOSED_TP_SAME_CANDLE
